id,title,abstract,category,predicted_category
38768794,"A comprehensive review of the botany, ethnopharmacology, phytochemistry, and pharmacological activities of two Iranian Rydingia species (Lamiaceae).","Rydingia michauxii and R. persica, respectively, known as Kase Gol and Goldar in Persian, belong to the family Lamiaceae and they are well known herbal medicine in Iran for the treatment of various diseases, particularly diabetes. This review aims to appraise the phytochemistry, ethnopharmacology, and pharmacological activities of Rydingia species growing in Iran and assess their potential in clinical applications. Besides, it critically evaluates existing literature and looks into the perspective for further research and utilization. All available scientific literature was consulted using the database searches involving Google Scholar, PubMed, and Web of Science applying the keyword Rydingia and its Syn; Otostegia. Only the search results that are associated with the Iranian species R. michauxii and R. persica are included in this review. α-pinene, carvacrol, caryophyllene oxide, diisooctyl phthalate, dillapiole, eugenol, hexadecanoic acid, and pentacosane are the major constituents of the essential oils of the Rydingia species. Additionally, these species produce bioactive flavonoids, phenolic acids, steroids, and terpenoids. Extracts and active compounds from Rydingia species have been reported to possess various pharmacological activities including antidiabetic, anti-inflammatory, antimalarial, antimicrobial, antioxidant, cytotoxic, and lipid-lowering properties. Based on the information available to date on the Iranian Rydingia species, it will be worth subjecting these species to further developmental work involving preclinical and clinical trials.",2,diagnosis
38768690,"The integrated stress response in pancreatic development, tissue homeostasis, and cancer.","Present in all eukaryotic cells, the integrated stress response (ISR) is a highly coordinated signaling network that controls cellular behavior, metabolism and survival in response to diverse stresses. The ISR is initiated when any one of four stress sensing kinases (PERK, GCN2, PKR, HRI) becomes activated to phosphorylate the protein translation initiation factor eIF2α, shifting gene expression toward a comprehensive rewiring of cellular machinery to promote adaptation. While the ISR has been shown to play an important role in the homeostasis of multiple tissues, evidence suggests that it is particularly crucial for the development and ongoing health of the pancreas. Among the most synthetically dynamic tissues in the body, the exocrine and endocrine pancreas relies heavily on the ISR to rapidly adjust cell function to meet the metabolic demands of the organism. The hardwiring of the ISR into normal pancreatic functions and adaptation to stress may explain why it is a commonly utilized pro-oncogenic and therapy-resistance mechanism in both pancreatic ductal adenocarcinoma (PDAC) and pancreatic neuroendocrine tumors (PanNETs). Here we review what is known about the key roles that the ISR plays in the development, homeostasis, and neoplasia of the pancreas.",2,diagnosis
38768659,Cost-Effectiveness of Diabetic Retinopathy Screening for Newly Diagnosed Type 2 Diabetic Patients: A Nationwide Population-based Propensity Score-Matched Cohort Study.,"This study investigated the association between the frequency of screening for diabetic retinopathy (DR) versus the development of DR and corresponding medical expenses among patients newly diagnosed with type 2 diabetes mellitus (T2DM). This longitudinal, population-based study used the Taiwan National Health Insurance Research Database (2004 to 2020) as a data source. Propensity score matching (PSM) (sex, age, comorbidities and concurrent medication use) was employed in the grouping of T2DM patients according to different frequency of DR screening. Outcome measures included the proportion of patients who developed DR, who received DR treatment, and the associated medical expenses and hospitalizations. The 17-year cohort included 337,046 patients. After PSM, three groups each containing 35,739 patients were assembled and analyzed. Compared to low-frequency screening, high-frequency screening was more effective in detecting patients requiring treatment; however, the net cost for treatment was significantly lower. Standard-frequency screening appears to provide the best balance in terms of DR detection, diagnosis interval, the risk of DR-related hospitalization, and DR treatment costs. In this real-world cohort study covering all levels of the healthcare system, infrequent screening was associated with delayed diagnosis and elevated treatment costs, while a fundus screening interval of 1-2 years proved optimal in terms of detection and medical expenditures.",1,diagnosis
38768620,Effect of SGLT2 inhibitors on heart failure outcomes and cardiovascular death across the cardiometabolic disease spectrum: a systematic review and meta-analysis.,"Sodium-glucose co-transporter-2 (SGLT2) inhibitors have been studied in patients with heart failure, type 2 diabetes, chronic kidney disease, atherosclerotic cardiovascular disease, and acute myocardial infarction. Individual trials were powered to study composite outcomes in one disease state. We aimed to evaluate the treatment effect of SGLT2 inhibitors on specific clinical endpoints across multiple demographic and disease subgroups. In this systematic review and meta-analysis, we queried online databases (PubMed, Cochrane CENTRAL, and SCOPUS) up to Feb 10, 2024, for primary and secondary analyses of large trials (n>1000) of SGLT2 inhibitors in patients with heart failure, type 2 diabetes, chronic kidney disease, and atherosclerotic cardiovascular disease (including acute myocardial infarction). Outcomes studied included composite of first hospitalisation for heart failure or cardiovascular death, first hospitalisation for heart failure, cardiovascular death, total (first and recurrent) hospitalisation for heart failure, and all-cause mortality. Effect sizes were pooled using random-effects models. This study is registered with PROSPERO, CRD42024513836. We included 15 trials (N=100 952). Compared with placebo, SGLT2 inhibitors reduced the risk of first hospitalisation for heart failure by 29% in patients with heart failure (hazard ratio [HR] 0·71 [95% CI 0·67-0·77]), 28% in patients with type 2 diabetes (0·72 [0·67-0·77]), 32% in patients with chronic kidney disease (0·68 [0·61-0·77]), and 28% in patients with atherosclerotic cardiovascular disease (0·72 [0·66-0·79]). SGLT2 inhibitors reduced cardiovascular death by 14% in patients with heart failure (HR 0·86 [95% CI 0·79-0·93]), 15% in patients with type 2 diabetes (0·85 [0·79-0·91]), 11% in patients with chronic kidney disease (0·89 [0·82-0·96]), and 13% in patients with atherosclerotic cardiovascular disease (0·87 [0·78-0·97]). The benefit of SGLT2 inhibitors on both first hospitalisation for heart failure and cardiovascular death was consistent across the majority of the 51 subgroups studied. Notable exceptions included acute myocardial infarction (22% reduction in first hospitalisation for heart failure; no effect on cardiovascular death) and heart failure with preserved ejection fraction (26% reduction in first hospitalisation for heart failure; no effect on cardiovascular death). SGLT2 inhibitors reduced heart failure events and cardiovascular death in patients with heart failure, type 2 diabetes, chronic kidney disease, and atherosclerotic cardiovascular disease. These effects were consistent across a wide range of subgroups within these populations. This supports the eligibility of a large population with cardiorenal-metabolic diseases for treatment with SGLT2 inhibitors. None.",2,treatment
38768613,Nutritional Challenges and Treatment After Bariatric Surgery.,"Bariatric surgery is an important weight loss tool in individuals with severe obesity. It is currently the most effective long-term weight loss treatment that lowers obesity-related comorbidities. It also has significant physiological and nutritional consequences that can result in gastrointestinal complications and micronutrient deficiencies. After gastric bypass, common clinical events that negatively affect nutritional status include malabsorption, dumping syndrome, kidney stones, altered intestinal bile acid availability, bowel obstruction, ulcer, gastroesophageal reflux, and bacterial overgrowth. Risk factors for poor nutritional status and excessive loss of lean body mass and bone include reduced dietary quality and inadequate intake, altered nutrient absorption, and poor patient compliance with nutrient supplementation. There are unique concerns in adolescents, older individuals, and individuals who become pregnant postoperatively. With careful management, health-care professionals can assist with long-term weight loss success and minimize the risk of acute and long-term nutrition complications after bariatric surgery.",2,diagnosis
38768605,Co electrospinning -poly (vinyl alcohol)-chitosan/gelatin-poly (ε-caprolacton) nanofibers for diabetic wound-healing application.,"With the increasing prevalence of diabetes, the healing of diabetic wounds has become a significant challenge for both healthcare professionals and patients. Recognizing the urgent need for effective solutions, it is crucial to develop suitable scaffolds specifically tailored for diabetic wound healing. In line with this objective, we have developed novel hybrid nanofibrous scaffolds by combining polyvinyl alcohol/chitosan (PVA/CS) and gelatin/poly(Ɛ-caprolactone) (Gel/PCL) polymers through a double-nozzle electrospinning technique. In this study, we investigated the influence of the Gel/PCL blend ratio on the properties of the resulting nanofibers. Three different hybrid scaffold structures were examined: Gel/PCL (80:20)-PVA/CS (80:20), Gel/PCL (50:50)-PVA/CS (80:20), and Gel/PVA (20:80)-PVA/CS (80:20). Our findings demonstrate that the electrospun nanofibers of PVA/CS (80:20)-Gel/PCL (80:20) exhibited optimal mechanical performance, with a contact angle of approximately 54° and a diameter of 183 nm. Considering the crucial role of inhibiting bacterial adhesion in the success of implanted materials, we evaluated the cytocompatibility of the hybrid electrospun nanofibers using mouse fibroblast cells (L-929 cells). The in vitro cytotoxicity results obtained from L-929 fibroblast cell culture on the hybrid scaffolds revealed enhanced cell proliferation and appropriate cell morphology on the PVA/CS (80:20)-Gel/PCL (80:20) sample, indicating its capability to support tissue cell integration. Based on the information obtained from this study, the fabricated hybrid scaffold holds great promise for diabetic ulcer healing. Its optimal mechanical properties, suitable contact angle, and favorable cytocompatibility highlight its potential as a valuable tool in the field of diabetic wound healing. The development of such hybrid scaffolds represents a significant step forward in addressing the challenges associated with diabetic wound care.&#xD.",2,diagnosis
38768555,Placental human papillomavirus infections and adverse pregnancy outcomes.,"Knowledge on prevalence and association of human papillomavirus (HPV) in third trimester placentae and adverse pregnancy outcomes is limited. We investigated the prevalence of placental HPV at delivery, explored urine HPV characteristics associated with placental HPV and whether placental HPV increased the risk adverse pregnancy outcomes. Pregnant women were enrolled in the Scandinavian PreventADALL mother-child cohort study at midgestation. Human papillomavirus genotyping was performed on placental biopsies collected at delivery (n = 587) and first-void urine at midgestation and delivery (n = 556). Maternal characteristics were collected by questionnaires at gestational week 18 and 34. Adverse pregnancy outcomes were registered from chart data including hypertensive disorders of pregnancy, gestational diabetes mellitus and newborns small for gestational age. Uni- and multivariable regression models were used to investigate associations. Placental HPV was detected in 18/587 (3 %). Twenty-eight genotypes were identified among the 214/556 (38 %) with midgestational urine HPV. Seventeen of the 18 women with placental HPV were midgestational HPV positive with 89 % genotype concordance. Midgestational high-risk-(HR)-HPV and high viral loads of Any- or HR-HPV were associated with placental HPV. Persisting HPV infection from midgestation to delivery was not associated with placental HPV. Adverse pregnancy outcomes were seen in 2/556 (0.4 %) of women with placental HPV. In this general cohort of pregnant women, the prevalence of placental HPV was 3 %, and midgestational urinary HPV 38 %. High HPV viral load increased the risk for placental HPV infections. We observed no increased risk for adverse pregnancy outcomes in women with placental HPV.",2,prevention
38769599,Research progress on the role of extracellular vesicles in the pathogenesis of diabetic kidney disease.,"Diabetic kidney disease (DKD) is a serious complication of diabetes mellitus (DM) and has become the main cause of end-stage renal disease worldwide. In recent years, with the increasing incidence of DM, the pathogenesis of DKD has received increasing attention. The pathogenesis of DKD is diverse and complex. Extracellular vesicles (EVs) contain cell-derived membrane proteins, nucleic acids (such as DNA and RNA) and other important cellular components and are involved in intercellular information and substance transmission. In recent years, an increasing number of studies have confirmed that EVs play an important role in the development of DKD. The purpose of this paper is to explain the potential diagnostic value of EVs in DKD, analyze the mechanism by which EVs participate in intercellular communication, and explore whether EVs may become drug carriers for targeted therapy to provide a reference for promoting the implementation and application of exosome therapy strategies in clinical practice.",2,diagnosis
38769592,Long-term renal and cardiovascular risks of tacrolimus in patients with lupus nephritis.,"Despite continuous advancement, treatment of lupus nephritis (LN) remains challenging. Recent guidelines now include a regimen incorporating tacrolimus as a first-line treatment option. Even though tacrolimus is effective in combination with mycophenolate and corticosteroids, concerns remain regarding long-term use, given its association with increased cardiovascular risks including nephrotoxicity, hypertension, dyslipidemia and hyperglycemia in kidney transplant recipients. However, in LN, long-term evaluations and head-to-head comparisons are lacking and thus the safety profile remains ill-defined. We hypothesized that chronic toxicity also occurs in LN patients. Therefore, this study aimed to assess long-term cardiovascular and renal outcomes of tacrolimus in LN patients. This observational cohort study examined adult LN patients treated with tacrolimus, assessing renal outcomes, hypertension, diabetes, dyslipidemia, cardiovascular events and the Framingham risk score. The results were compared to a control group of CNI-naïve LN patients. Of the 219 LN patients in this study, 43 (19.6%) had tacrolimus exposure. Over a median follow-up of 7.1 years, tacrolimus use was associated with significant kidney function decline (6.8 ml/min/1.73m2, versus 0.8 in the control group). The incidence of end-stage kidney disease was similar. Cardiovascular event incidence was equally low in both groups. The 10-year risk of coronary heart disease was lower in the tacrolimus group, primarily due to age differences. HbA1c levels were higher in the tacrolimus group (37.4 mmol/mol) than in controls (33.6 mmol/mol), although the incidence of diabetes was similar. There were no differences in the occurrence of hypertension or dyslipidemia. Our study demonstrated that tacrolimus exposure was associated with long-term kidney function loss in LN patients. Although cardiovascular risk factors and events were similar to patients never exposed to tacrolimus, there may be an increased risk of developing diabetes. Therefore, our study supports vigilance towards renal adverse effects in LN patients treated with tacrolimus.",2,diagnosis
38769575,Type 2 diabetes in latin America: recommendations on the flash glucose monitoring system.,"To establish recommendations through the consensus of a Latin American experts panel on the use of the flash glucose monitoring system (fCGM) in people living with type 2 diabetes mellitus (T2DM) regarding the benefits and challenges of using the fCGM. An executive committee of experts was created, comprised by a panel of fifteen physicians, including endocrinologists and internal medicine physicians, with expertise in management of adult patients with T2DM. The experts were from various countries: Colombia, Chile, Peru, Mexico, Argentina, and Brazil. The modified Delphi method was used, considering a consensus level of at least 80% of the participants. A seventeen-item instrument was developed to establish recommendations on the use of fCGM in patients with T2DM in Latin American. The number of glucose scans recommended per day with the fCGM for patients managed with oral antidiabetic drugs or basal insulin was a median of 6 scans per day, and for those managed with multiple insulin doses, a median of 10 scans per day was recommended. Additionally, a holistic and individualized management approach was recommended, taking into account new treatment directions and identifying patients who would benefit from the use of the fCGM. Continuous use of the fCGM is recommended for people living with T2DM, regardless of their type of treatment. These metrics must be evaluated individually for each patient profile.",2,diagnosis
38769570,Hypopituitarism with secondary adrenocortical insufficiency and arginine vasopressin deficiency due to hypophysitis after COVID-19 vaccination: a case report.,"Although vaccination against coronavirus disease (COVID-19) has several side effects, hypopituitarism due to hypophysitis has rarely been reported. An 83-year-old healthy woman, who had received her fourth COVID-19 vaccine dose 2 days before admission, presented to the emergency department with difficulty moving. On examination, impaired consciousness (Glasgow Coma Scale: 14) and fever were observed. Computed tomography and magnetic resonance imaging of the head revealed swelling from the sella turcica to the suprasellar region. Her morning serum cortisol level was low (4.4 μg/dL) and adrenocorticotropic hormone level was normal (21.6 pg/mL). Central hypothyroidism was also suspected (thyroid stimulating hormone, 0.46 μIU/mL; free triiodothyronine, 1.86 pg/mL; free thyroxine, 0.48 ng/dL). Secondary adrenocortical insufficiency, growth hormone deficiency, delayed gonadotropin response, and elevated prolactin levels were also observed. After administration of prednisolone and levothyroxine, her consciousness recovered. On the 7th day of admission, the patient developed polyuria, and arginine vasopressin deficiency was diagnosed using a hypertonic saline test. On the 15th day, the posterior pituitary gland showed a loss of high signal intensity and the polyuria resolved spontaneously. On the 134th day, the corticotropin-releasing hormone loading test showed a normal response; however, the thyrotropin-releasing hormone stimulation test showed a low response. The patient's disease course was stable with continued thyroid and adrenal corticosteroid supplementation. Herein, we report a rare case of anterior hypopituitarism and arginine vasopressin deficiency secondary to hypophysitis following COVID-19 vaccination.",2,treatment
